county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Butler County,017,-84.57557,39.43863,10.95,0,12.95,0,12.95,0,12.95,3,14.95,3,14.95,4,16.95,4,16.95,6,18.95,5,18.95,6,20.95,5,22.95,5,22.95,6
Carroll County,019,-82.68778,38.35956,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Champaign County,021,-80.85706,38.92405,6.95,0,6.95,0,8.95,0,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1,12.95,1,12.95,1,14.95,1,14.95,1
Clark County,023,-79.1956,39.10514,12.95,0,12.95,0,14.95,0,14.95,3,16.95,3,16.95,3,18.95,1,18.95,3,20.95,4,20.95,4,22.95,3,24.95,3,24.95,3
Clermont County,025,-84.15183,39.04748,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1,16.95,2,18.95,2,18.95,2,20.95,2,20.95,2,22.95,2,24.95,3
Clinton County,027,-83.80837,39.41498,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,24.95,1,26.95,1
Columbiana County,029,-80.5739,40.52186,8.95,0,8.95,0,8.95,0,10.95,1,10.95,0,10.95,2,12.95,2,12.95,3,12.95,2,14.95,4,14.95,4,16.95,3,16.95,4
Coshocton County,031,-78.85795,39.00753,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0
Crawford County,033,-82.91978,40.85077,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Cuyahoga County,035,-81.6748,38.83447,10.95,3,10.95,3,10.95,4,12.95,12,12.95,13,12.95,14,14.95,15,14.95,14,16.95,11,16.95,10,18.95,10,18.95,11,20.95,18
Darke County,037,-84.37952,38.94651,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Defiance County,039,-88.97098,36.8532,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,1,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1
Delaware County,041,-83.00487,40.2784,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,6.95,1,8.95,1,8.95,1,8.95,1
Erie County,043,-82.07039,38.17535,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,12.95,1
Fairfield County,045,-82.63058,39.75163,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,8.95,1,8.95,1,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1,12.95,1
Fayette County,047,-83.45609,39.55988,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1
Franklin County,049,-83.0093,39.96954,8.95,1,10.95,1,10.95,1,10.95,6,12.95,5,12.95,5,14.95,4,14.95,5,14.95,6,16.95,8,16.95,10,18.95,8,18.95,12
Fulton County,051,-83.71466,37.15971,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,2,10.95,2,10.95,2,10.95,1
Gallia County,053,-82.02656,38.76972,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0
Geauga County,055,-81.17866,41.49953,6.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,1,12.95,1,12.95,2
Greene County,057,-85.38851,36.7866,10.95,0,12.95,0,12.95,0,12.95,2,14.95,1,14.95,1,16.95,2,16.95,3,18.95,3,18.95,2,20.95,4,20.95,4,22.95,4
Guernsey County,059,-87.08723,37.73185,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1
Hamilton County,061,-86.23842,37.2088,10.95,2,12.95,2,12.95,2,12.95,4,14.95,4,14.95,7,16.95,7,16.95,7,18.95,9,18.95,14,20.95,19,22.95,16,22.95,21
Hancock County,063,-80.5505,37.56038,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,1,8.95,0,10.95,1,10.95,0
Hardin County,065,-83.65943,40.66152,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0
Harrison County,067,-81.09112,40.29383,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Henry County,069,-80.61892,40.09695,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,1,8.95,1,10.95,1,10.95,0
Highland County,071,-83.60098,39.18471,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,14.95,1,14.95,0,16.95,0,16.95,0,18.95,1,20.95,1,20.95,2
Hocking County,073,-84.87705,38.23917,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0
Holmes County,075,-81.92934,40.56121,1,0,1,0,1,0,2.95,0,2.95,0,2.95,1,2.95,0,2.95,0,2.95,0,4.95,0,4.95,0,4.95,0,4.95,0
Huron County,077,-79.66816,39.46933,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1
Jackson County,079,-81.90899,38.50862,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,1,24.95,1,26.95,1
Jefferson County,081,-80.761,40.38501,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1,18.95,1,20.95,1,22.95,2,22.95,2,24.95,2,26.95,2,28.95,1,28.95,2
Knox County,083,-88.6512,36.7231,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0
Lake County,085,-81.06298,39.17826,8.95,0,8.95,0,8.95,0,10.95,3,10.95,2,10.95,2,12.95,2,12.95,3,12.95,2,14.95,2,14.95,4,16.95,4,16.95,6
Lawrence County,087,-82.53678,38.59842,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,1,18.95,0,20.95,0,20.95,1,22.95,0,24.95,1
Licking County,089,-82.92235,38.54569,6.95,0,8.95,0,8.95,0,8.95,1,10.95,1,10.95,1,10.95,0,12.95,1,12.95,1,12.95,1,14.95,1,14.95,1,16.95,1
Logan County,091,-80.04619,39.33598,6.95,0,8.95,0,8.95,0,8.95,1,10.95,1,10.95,1,12.95,1,12.95,1,12.95,1,14.95,1,14.95,1,16.95,1,16.95,1
Lorain County,093,-82.15116,41.2956,6.95,0,8.95,0,8.95,0,8.95,1,8.95,0,10.95,1,10.95,1,10.95,0,12.95,1,12.95,1,14.95,2,14.95,2,14.95,4
Lucas County,095,-80.88484,39.46528,10.95,1,10.95,0,10.95,0,12.95,1,12.95,1,14.95,2,14.95,3,14.95,2,16.95,2,16.95,4,18.95,3,20.95,6,20.95,6
Madison County,097,-80.23344,38.89784,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,0
Mahoning County,099,-80.77631,41.01465,10.95,1,10.95,1,12.95,1,12.95,2,12.95,3,14.95,2,14.95,2,16.95,2,16.95,2,18.95,2,18.95,4,20.95,5,22.95,6
Marion County,101,-83.16087,40.58719,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,1
Medina County,103,-80.63911,39.60528,4.95,0,4.95,0,6.95,0,6.95,0,6.95,1,6.95,0,6.95,1,8.95,1,8.95,1,8.95,1,10.95,1,10.95,1,10.95,1
Meigs County,105,-81.37869,39.02245,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Mercer County,107,-84.62937,40.53995,2.95,0,2.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0
Miami County,109,-84.22885,40.05346,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1,16.95,1,18.95,1
Monroe County,111,-85.65946,38.18713,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0
Montgomery County,113,-84.29068,39.75458,18.95,0,18.95,0,20.95,1,22.95,2,22.95,2,24.95,1,26.95,3,26.95,3,28.95,2,30,3,30,2,30,3,30,4
Morgan County,115,-81.85267,39.62037,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Morrow County,117,-84.53334,38.9334,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,1,10.95,1,12.95,1,12.95,1,14.95,1,14.95,1
Muskingum County,119,-81.94437,39.96544,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1
Noble County,121,-81.45557,39.76594,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0
Ottawa County,123,-83.14004,41.53772,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,1,14.95,0
Paulding County,125,-84.58021,41.11662,2.95,0,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0
Perry County,127,-82.23613,39.73715,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1
Pickaway County,129,-83.0244,39.64193,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,1,16.95,1
Pike County,131,-83.06677,39.07732,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,1,22.95,1,22.95,1
Portage County,133,-81.1974,41.16768,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0
Preble County,135,-84.64798,39.74153,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0
Putnam County,137,-84.66081,37.45535,2.95,0,2.95,0,2.95,0,2.95,0,2.95,0,4.95,0,4.95,0,4.95,1,4.95,0,4.95,0,6.95,0,6.95,1,6.95,1
Richland County,139,-88.35372,37.20963,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,14.95,0,14.95,0,14.95,1,16.95,2,16.95,1
Ross County,141,-83.05702,39.33759,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1,18.95,1,20.95,1,22.95,1,22.95,2,24.95,2,26.95,2
Sandusky County,143,-83.14544,41.3568,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,1,12.95,0,12.95,0,14.95,1
Scioto County,145,-88.71265,37.05396,16.95,0,16.95,0,18.95,0,18.95,0,20.95,1,22.95,1,22.95,2,24.95,1,26.95,1,28.95,0,28.95,1,30,1,30,1
Seneca County,147,-83.12766,41.12386,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,1,8.95,0,8.95,2
Shelby County,149,-84.20475,40.33155,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,1,14.95,1
Stark County,151,-81.36563,40.81388,6.95,1,6.95,2,6.95,1,6.95,2,8.95,2,8.95,2,8.95,1,10.95,1,10.95,2,10.95,1,10.95,3,12.95,4,12.95,3
Summit County,153,-81.53217,41.12598,8.95,1,10.95,1,10.95,1,10.95,3,12.95,4,12.95,4,12.95,4,14.95,3,14.95,3,16.95,7,16.95,7,18.95,7,18.95,8
Trumbull County,155,-85.26964,37.55254,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,1,26.95,1,28.95,1
Tuscarawas County,157,-88.32935,36.88342,2.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,6.95,0
Union County,159,-83.37157,40.29941,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,6.95,1,8.95,1,8.95,1,8.95,1,10.95,0,10.95,0,10.95,0,12.95,0
Van Wert County,161,-84.58612,40.85541,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0
Vinton County,163,-86.21695,37.96962,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,28.95,0
Warren County,165,-84.16677,39.42756,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,3,16.95,4
Washington County,167,-81.49529,39.45532,8.95,0,8.95,0,8.95,0,8.95,1,10.95,1,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,14.95,1,16.95,1
Wayne County,169,-85.62923,36.99053,4.95,0,4.95,0,4.95,0,4.95,1,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,6.95,1,8.95,1,8.95,2,8.95,2
Williams County,171,-84.58816,41.56032,2.95,0,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,1,8.95,1,8.95,1,8.95,0
Wood County,173,-83.623,41.36168,4.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,1,8.95,2,8.95,2
Wyandot County,175,-83.25888,37.92229,2.95,0,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0
Barbour County,001,-85.28063,37.10417,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0
Berkeley County,003,-84.10579,40.77154,12.95,1,14.95,1,14.95,1,16.95,3,16.95,3,18.95,3,18.95,4,20.95,4,22.95,4,22.95,4,24.95,3,26.95,4,28.95,4
Boone County,005,-82.27069,40.84601,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,1,30,1,30,1
Braxton County,007,-80.7483,41.70755,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,18.95,0,18.95,0
Brooke County,009,-85.93366,36.96558,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0
Cabell County,011,-84.22173,40.56092,20.95,0,20.95,1,22.95,1,24.95,2,26.95,2,26.95,3,28.95,3,30,2,30,2,30,2,30,4,30,4,30,4
Calhoun County,013,-81.11758,38.84453,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0
Clay County,015,-83.86743,38.93401,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Doddridge County,017,-84.57557,39.43863,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0
Fayette County,019,-82.68778,38.35956,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,1,28.95,1,30,1,30,1
Gilmer County,021,-80.85706,38.92405,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Grant County,023,-79.1956,39.10514,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Greenbrier County,025,-84.15183,39.04748,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,16.95,1,18.95,1,20.95,1,20.95,1,22.95,1,24.95,1,24.95,2,26.95,2
Hampshire County,027,-83.80837,39.41498,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Hancock County,029,-80.5739,40.52186,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,2
Hardy County,031,-78.85795,39.00753,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0
Harrison County,033,-82.91978,40.85077,12.95,1,12.95,1,14.95,0,14.95,0,16.95,1,16.95,1,18.95,1,18.95,1,20.95,1,20.95,1,22.95,2,24.95,2,24.95,3
Jackson County,035,-81.6748,38.83447,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Jefferson County,037,-84.37952,38.94651,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,1,24.95,1
Kanawha County,039,-88.97098,36.8532,16.95,0,16.95,1,18.95,1,18.95,1,20.95,1,20.95,3,22.95,3,24.95,4,26.95,4,26.95,5,28.95,5,30,5,30,6
Lewis County,041,-83.00487,40.2784,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Lincoln County,043,-82.07039,38.17535,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,0,28.95,0,30,0,30,0,30,0
Logan County,045,-82.63058,39.75163,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,1,30,1,30,1,30,2,30,1,30,1,30,1
Marion County,049,-83.0093,39.96954,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1,16.95,1
Marshall County,051,-83.71466,37.15971,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,1,18.95,1,18.95,0,20.95,1
Mason County,053,-82.02656,38.76972,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,1,26.95,1,26.95,1,28.95,1,30,0
McDowell County,047,-83.45609,39.55988,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,30,0,30,0
Mercer County,055,-81.17866,41.49953,24.95,0,26.95,0,26.95,0,28.95,1,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,2,30,2
Mineral County,057,-85.38851,36.7866,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Mingo County,059,-87.08723,37.73185,26.95,0,28.95,1,30,1,30,1,30,1,30,1,30,1,30,1,30,1,30,2,30,2,30,2,30,3
Monongalia County,061,-86.23842,37.2088,6.95,0,6.95,0,6.95,0,6.95,0,8.95,2,8.95,3,8.95,3,8.95,2,10.95,2,10.95,3,10.95,3,12.95,3,12.95,3
Monroe County,063,-80.5505,37.56038,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,1
Morgan County,065,-83.65943,40.66152,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0,26.95,0,28.95,1
Nicholas County,067,-81.09112,40.29383,10.95,0,12.95,0,12.95,0,14.95,1,14.95,1,16.95,1,16.95,1,18.95,1,20.95,1,22.95,1,22.95,1,24.95,1,26.95,1
Ohio County,069,-80.61892,40.09695,8.95,0,10.95,1,10.95,1,10.95,1,12.95,1,12.95,1,12.95,1,14.95,1,14.95,2,16.95,2,16.95,2,18.95,2,18.95,2
Pendleton County,071,-83.60098,39.18471,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,0
Pleasants County,073,-84.87705,38.23917,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0
Pocahontas County,075,-81.92934,40.56121,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,1,22.95,1,24.95,1,26.95,1,28.95,1,30,1,30,1,30,1
Preston County,077,-79.66816,39.46933,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Putnam County,079,-81.90899,38.50862,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,16.95,1,16.95,1,18.95,0,18.95,0,20.95,0
Raleigh County,081,-80.761,40.38501,20.95,0,20.95,0,22.95,1,24.95,1,24.95,1,26.95,1,28.95,1,30,1,30,2,30,2,30,2,30,2,30,2
Randolph County,083,-88.6512,36.7231,8.95,0,8.95,0,8.95,0,10.95,0,10.95,1,10.95,1,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0
Ritchie County,085,-81.06298,39.17826,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0
Roane County,087,-82.53678,38.59842,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0
Summers County,089,-82.92235,38.54569,18.95,0,20.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,1,30,1,30,0,30,1
Taylor County,091,-80.04619,39.33598,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,1
Tucker County,093,-82.15116,41.2956,2.95,0,2.95,0,2.95,0,2.95,0,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,12.95,0,12.95,0
Tyler County,095,-80.88484,39.46528,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0
Upshur County,097,-80.23344,38.89784,4.95,0,4.95,0,6.95,0,6.95,0,6.95,1,8.95,1,8.95,1,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0
Wayne County,099,-80.77631,41.01465,14.95,0,14.95,0,16.95,0,18.95,2,18.95,2,20.95,1,20.95,2,22.95,1,24.95,1,26.95,1,28.95,1,28.95,1,30,1
Webster County,101,-83.16087,40.58719,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,24.95,1,24.95,1,26.95,1,28.95,1,30,1,30,0,30,1,30,1
Wetzel County,103,-80.63911,39.60528,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,14.95,2,14.95,2,16.95,1,16.95,1
Wirt County,105,-81.37869,39.02245,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,0
Wood County,107,-84.62937,40.53995,8.95,1,8.95,1,10.95,1,10.95,2,10.95,2,12.95,2,12.95,2,12.95,2,14.95,2,14.95,3,16.95,3,16.95,1,18.95,3
Wyoming County,109,-81.5596,37.6339,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
