county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Estill County,065,-83.65943,40.66152,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0
Fayette County,067,-81.09112,40.29383,10.95,2,10.95,1,12.95,1,12.95,2,14.95,3,14.95,3,14.95,3,16.95,4,16.95,3,18.95,6,20.95,4,20.95,5,22.95,5
Fleming County,069,-80.61892,40.09695,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,1
Floyd County,071,-83.60098,39.18471,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,30,1,30,1,30,1
Franklin County,073,-84.87705,38.23917,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,12.95,1,14.95,2,14.95,1,16.95,1
Fulton County,075,-81.92934,40.56121,4.95,0,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0
Gallatin County,077,-79.66816,39.46933,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0
Garrard County,079,-81.90899,38.50862,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Grant County,081,-80.761,40.38501,14.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0
Graves County,083,-88.6512,36.7231,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0
Grayson County,085,-81.06298,39.17826,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,0,26.95,0,28.95,0,30,0
Green County,087,-82.53678,38.59842,4.95,0,4.95,0,4.95,0,6.95,2,6.95,2,6.95,1,8.95,1,8.95,1,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0
Greenup County,089,-82.92235,38.54569,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,1,26.95,1,28.95,1
Hancock County,091,-80.04619,39.33598,2.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,2,12.95,1,12.95,1,14.95,0
Hardin County,093,-82.15116,41.2956,6.95,0,6.95,0,6.95,0,6.95,2,8.95,2,8.95,3,8.95,4,10.95,3,10.95,4,10.95,3,12.95,3,12.95,3,12.95,4
Harlan County,095,-80.88484,39.46528,18.95,0,20.95,0,22.95,0,24.95,0,24.95,0,26.95,0,28.95,0,30,0,30,0,30,0,30,0,30,0,30,0
Harrison County,097,-80.23344,38.89784,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,1,16.95,0,16.95,0,18.95,0,20.95,0,22.95,0,22.95,0
Hart County,099,-80.77631,41.01465,6.95,0,6.95,0,8.95,0,8.95,1,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,18.95,0
Henderson County,101,-83.16087,40.58719,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,1,12.95,0,14.95,0,14.95,0
Henry County,103,-80.63911,39.60528,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Hickman County,105,-81.37869,39.02245,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,16.95,0,18.95,0,20.95,0,22.95,0
Hopkins County,107,-84.62937,40.53995,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0
Jackson County,109,-84.22885,40.05346,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0
Jefferson County,111,-85.65946,38.18713,10.95,2,10.95,2,12.95,3,12.95,5,14.95,4,14.95,2,16.95,3,16.95,4,18.95,5,18.95,3,20.95,6,20.95,11,22.95,10
